Afghanistan,0.0973,434.1517,1202.5368,1942.943,2706.286,318.4621,1075.4567,1671.8816,2328.7301
Albania,0.0827,434.1517,1202.5368,1942.943,2706.286,318.4621,1075.4567,1671.8816,2328.7301
Algeria,0.0708,305.8796,1215.9154,1668.816,2324.4601,224.371,1087.4215,1435.9983,2000.173
Angola,0.0841,365.0821,1202.5368,1942.943,2706.286,267.7977,1075.4567,1671.8816,2328.7301
Antarctica,0.0611,268.3847,1202.5368,1668.816,2324.4601,196.8675,1075.4567,1435.9983,2000.173
Argentina,0.1342,335.4809,1115.7764,1616.5549,2251.6666,246.0844,997.8648,1391.0281,1937.535
Armenia,0.0973,434.1517,1202.5368,1942.943,2706.286,318.4621,1075.4567,1671.8816,2328.7301
Australia,0.0611,426.258,1202.5368,1942.943,2706.286,312.6719,1075.4567,1671.8816,2328.7301
Austria,0.0488,299.9594,982.2309,1827.9686,2546.1404,220.0284,878.432,1572.9473,2190.9265
Azerbaijan,0.0973,434.1517,1202.5368,1942.943,2706.286,318.4621,1075.4567,1671.8816,2328.7301
Bahrain,0.0708,305.8796,1215.9154,1668.816,2324.4601,224.371,1087.4215,1435.9983,2000.173
Bangladesh,0.0973,288.1189,1202.5368,1668.816,2324.4601,211.343,1075.4567,1435.9983,2000.173
Belarus,0.0827,434.1517,1202.5368,1942.943,2706.286,318.4621,1075.4567,1671.8816,2328.7301
Belgium,0.0488,299.9594,982.2309,1827.9686,2546.1404,220.0284,878.432,1572.9473,2190.9265
Benin,0.0841,365.0821,1202.5368,1942.943,2706.286,267.7977,1075.4567,1671.8816,2328.7301
Bhutan,0.0973,288.1189,1202.5368,1668.816,2324.4601,211.343,1075.4567,1435.9983,2000.173
Bolivia,0.0795,335.4809,1115.7764,1616.5549,2251.6666,246.0844,997.8648,1391.0281,1937.535
Bosnia and Herzegovina,0.0827,434.1517,1202.5368,1942.943,2706.286,318.4621,1075.4567,1671.8816,2328.7301
Botswana,0.0841,365.0821,1202.5368,1942.943,2706.286,267.7977,1075.4567,1671.8816,2328.7301
Brazil,0.0795,335.4809,1115.7764,1616.5549,2251.6666,246.0844,997.8648,1391.0281,1937.535
Brunei,0.0816,305.8796,1215.9154,1668.816,2324.4601,224.371,1087.4215,1435.9983,2000.173
Bulgaria,0.0488,299.9594,982.2309,1827.9686,2546.1404,220.0284,878.432,1572.9473,2190.9265
Burkina Faso,0.0841,365.0821,1202.5368,1942.943,2706.286,267.7977,1075.4567,1671.8816,2328.7301
Burundi,0.0841,365.0821,1202.5368,1942.943,2706.286,267.7977,1075.4567,1671.8816,2328.7301
Cambodia,0.0816,268.3847,1202.5368,1668.816,2324.4601,196.8675,1075.4567,1435.9983,2000.173
Cameroon,0.0841,365.0821,1202.5368,1942.943,2706.286,267.7977,1075.4567,1671.8816,2328.7301
Canada,0.0614,386.7897,968.8791,1838.4208,2560.6991,283.7208,866.4911,1581.9414,2203.4541
Cape Verde,0.0841,365.0821,1202.5368,1942.943,2706.286,267.7977,1075.4567,1671.8816,2328.7301
Central African Republic,0.0841,365.0821,1202.5368,1942.943,2706.286,267.7977,1075.4567,1671.8816,2328.7301
Chad,0.0841,365.0821,1202.5368,1942.943,2706.286,267.7977,1075.4567,1671.8816,2328.7301
Chile,0.0795,335.4809,1115.7764,1616.5549,2251.6666,246.0844,997.8648,1391.0281,1937.535
China,0.0692,266.4113,728.4385,1469.304,2046.5638,195.4199,651.4595,1264.3203,1761.0462
Colombia,0.0795,335.4809,1115.7764,1616.5549,2251.6666,246.0844,997.8648,1391.0281,1937.535
Democratic Republic of the Congo,0.0841,365.0821,1202.5368,1942.943,2706.286,267.7977,1075.4567,1671.8816,2328.7301
Costa Rica,0.0795,335.4809,1115.7764,1616.5549,2251.6666,246.0844,997.8648,1391.0281,1937.535
Côte d'Ivoire,0.0841,365.0821,1202.5368,1942.943,2706.286,267.7977,1075.4567,1671.8816,2328.7301
Croatia,0.0488,299.9594,982.2309,1827.9686,2546.1404,220.0284,878.432,1572.9473,2190.9265
Cuba,0.0795,335.4809,1115.7764,1616.5549,2251.6666,246.0844,997.8648,1391.0281,1937.535
Cyprus,0.0488,299.9594,982.2309,1827.9686,2546.1404,220.0284,878.432,1572.9473,2190.9265
Czech Republic,0.0488,299.9594,982.2309,1827.9686,2546.1404,220.0284,878.432,1572.9473,2190.9265
Democratic Republic of the Congo,0.0841,365.0821,1202.5368,1942.943,2706.286,267.7977,1075.4567,1671.8816,2328.7301
Denmark,0.0488,299.9594,982.2309,1827.9686,2546.1404,220.0284,878.432,1572.9473,2190.9265
Djibouti,0.0708,305.8796,1215.9154,1668.816,2324.4601,224.371,1087.4215,1435.9983,2000.173
Dominican Republic,0.0795,335.4809,1115.7764,1616.5549,2251.6666,246.0844,997.8648,1391.0281,1937.535
Ecuador,0.0795,335.4809,1115.7764,1616.5549,2251.6666,246.0844,997.8648,1391.0281,1937.535
Egypt,0.0708,305.8796,1215.9154,1668.816,2324.4601,224.371,1087.4215,1435.9983,2000.173
El Salvador,0.0795,335.4809,1115.7764,1616.5549,2251.6666,246.0844,997.8648,1391.0281,1937.535
Equatorial Guinea,0.0841,365.0821,1202.5368,1942.943,2706.286,267.7977,1075.4567,1671.8816,2328.7301
Eritrea,0.0841,365.0821,1202.5368,1942.943,2706.286,267.7977,1075.4567,1671.8816,2328.7301
Estonia,0.0488,299.9594,982.2309,1827.9686,2546.1404,220.0284,878.432,1572.9473,2190.9265
Ethiopia,0.0841,365.0821,1202.5368,1942.943,2706.286,267.7977,1075.4567,1671.8816,2328.7301
Fiji,0.0611,268.3847,1202.5368,1668.816,2324.4601,196.8675,1075.4567,1435.9983,2000.173
