Afghanistan,0.0854,0.0854,0.0854,0.0973,0.1,0.075,434.1517062,1202.536847,1942.943022,2706.286045,318.4621278,1075.456683,1671.88162,2328.7301,812.870132,1576.659397,2874.618573,4003.99808,734.9040902,1520.232632,2728.071362,3799.875433
Albania,0.1163,0.1163,0.1163,0.0827,0.1,0.075,434.1517062,1202.536847,1942.943022,2706.286045,318.4621278,1075.456683,1671.88162,2328.7301,812.870132,1576.659397,2874.618573,4003.99808,734.9040902,1520.232632,2728.071362,3799.875433
Algeria,0.1307,0.1307,0.1307,0.0708,0.1,0.075,305.8796112,1215.915435,1668.816023,2324.460091,224.3710446,1087.421466,1435.998279,2000.172964,572.7039566,1594.200213,2469.042829,3439.079826,517.7733363,1537.145683,2343.17175,3263.756546
Angola,0.0767,0.1022,0.1022,0.0841,0.1,0.075,365.0821161,1202.536847,1942.943022,2706.286045,267.797698,1075.456683,1671.88162,2328.7301,683.5498827,1576.659397,2874.618573,4003.99808,617.9875296,1520.232632,2728.071362,3799.875433
Antarctica,0.0599,0.0468,0.0599,0.0611,0.1,0.075,268.3846908,1202.536847,1668.816023,2324.460091,196.867497,1075.456683,1435.998279,2000.172964,502.5015356,1576.659397,2469.042829,3439.079826,454.3043462,1520.232632,2343.17175,3263.756546
Argentina,0.155,0.155,0.155,0.1342,0.1,0.075,335.4808638,1115.776386,1616.554905,2251.666637,246.0843714,997.8647845,1391.028148,1937.534978,628.12692,1462.906795,2391.72158,3331.380624,567.8804333,1410.5511,2269.792316,3161.547817
Armenia,0.0854,0.0854,0.0854,0.0973,0.1,0.075,434.1517062,1202.536847,1942.943022,2706.286045,318.4621278,1075.456683,1671.88162,2328.7301,812.870132,1576.659397,2874.618573,4003.99808,734.9040902,1520.232632,2728.071362,3799.875433
Australia,0.037,0.0462,0.0593,0.0611,0.1,0.075,426.2580397,1202.536847,1942.943022,2706.286045,312.671908,1075.456683,1671.88162,2328.7301,798.0906767,1576.659397,2874.618573,4003.99808,721.5421992,1520.232632,2728.071362,3799.875433
Austria,0.0506,0.0407,0.0639,0.0488,0.1,0.075,299.9593606,982.230938,1827.968563,2546.140446,220.0283792,878.431983,1572.947332,2190.926531,561.6193638,1287.813877,2704.511827,3767.059833,507.7519168,1241.724549,2566.636608,3575.016228
Azerbaijan,0.0866,0.0866,0.0866,0.0973,0.1,0.075,434.1517062,1202.536847,1942.943022,2706.286045,318.4621278,1075.456683,1671.88162,2328.7301,812.870132,1576.659397,2874.618573,4003.99808,734.9040902,1520.232632,2728.071362,3799.875433
Bahrain,0.0792,0.0792,0.0792,0.0708,0.1,0.075,305.8796112,1215.915435,1668.816023,2324.460091,224.3710446,1087.421466,1435.998279,2000.172964,572.7039566,1594.200213,2469.042829,3439.079826,517.7733363,1537.145683,2343.17175,3263.756546
Bangladesh,0.0854,0.0854,0.0854,0.0973,0.1,0.075,288.1188594,1202.536847,1668.816023,2324.460091,211.3430484,1075.456683,1435.998279,2000.172964,539.4501782,1576.659397,2469.042829,3439.079826,487.7090778,1520.232632,2343.17175,3263.756546
Belarus,0.1163,0.1163,0.1163,0.0827,0.1,0.075,434.1517062,1202.536847,1942.943022,2706.286045,318.4621278,1075.456683,1671.88162,2328.7301,812.870132,1576.659397,2874.618573,4003.99808,734.9040902,1520.232632,2728.071362,3799.875433
Belgium,0.0422,0.0522,0.0522,0.0488,0.1,0.075,299.9593606,982.230938,1827.968563,2546.140446,220.0283792,878.431983,1572.947332,2190.926531,561.6193638,1287.813877,2704.511827,3767.059833,507.7519168,1241.724549,2566.636608,3575.016228
Belize,0.0803,0.066,0.0803,0.0973,0.1,0.075,335.4808638,1115.776386,1616.554905,2251.666637,246.0843714,997.8647845,1391.028148,1937.534978,628.12692,1462.906795,2391.72158,3331.380624,567.8804333,1410.5511,2269.792316,3161.547817
Benin,0.0767,0.1022,0.1022,0.0841,0.1,0.075,365.0821161,1202.536847,1942.943022,2706.286045,267.797698,1075.456683,1671.88162,2328.7301,683.5498827,1576.659397,2874.618573,4003.99808,617.9875296,1520.232632,2728.071362,3799.875433
Bhutan,0.0854,0.0854,0.0854,0.0973,0.1,0.075,288.1188594,1202.536847,1668.816023,2324.460091,211.3430484,1075.456683,1435.998279,2000.172964,539.4501782,1576.659397,2469.042829,3439.079826,487.7090778,1520.232632,2343.17175,3263.756546
Bolivia,0.104,0.104,0.104,0.0795,0.1,0.075,335.4808638,1115.776386,1616.554905,2251.666637,246.0843714,997.8647845,1391.028148,1937.534978,628.12692,1462.906795,2391.72158,3331.380624,567.8804333,1410.5511,2269.792316,3161.547817
